loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0280, device='cuda:0')","tensor(0.7612, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.6298e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.9891e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.4939e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.0457e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.9374e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.7503e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.9276e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.3433e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.8137e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
