loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0289, device='cuda:0')","tensor(0.7794, device='cuda:0')","tensor(0.3400, device='cuda:0')","tensor(0.6641, device='cuda:0')","tensor(-0.0456, device='cuda:0')"
"tensor(0.0051, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.3638e-07, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.7045e-08, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.3747e-08, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.5103e-09, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.9242e-09, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.4901e-09, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.6696e-09, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.7199e-09, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.6169e-09, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0., device='cuda:0')"
