loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0300, device='cuda:0')","tensor(0.1078, device='cuda:0')","tensor(0.5187, device='cuda:0')","tensor(0.1953, device='cuda:0')","tensor(0.0126, device='cuda:0')"
"tensor(0.0046, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.1634e-11, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.6036e-11, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(9.9624e-12, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.3305e-11, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(9.9857e-12, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.6686e-12, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(9.6171e-12, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.0293e-11, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(9.6582e-12, device='cuda:0')","tensor(0.8374, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8895, device='cuda:0')","tensor(0., device='cuda:0')"
