loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0284, device='cuda:0')","tensor(0.7565, device='cuda:0')","tensor(0.4815, device='cuda:0')","tensor(0.8125, device='cuda:0')","tensor(-0.0549, device='cuda:0')"
"tensor(0.0034, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.0439e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.1029e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.2606e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.1932e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.2046e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(9.7237e-13, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.6054e-13, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.0566e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.7440e-13, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
