loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0., device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')","tensor(nan, device='cuda:0')"
"tensor(2.0619e-05, device='cuda:0')","tensor(0.9980, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9987, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.7590e-16, device='cuda:0')","tensor(0.9980, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9987, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.1679e-16, device='cuda:0')","tensor(0.9980, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9987, device='cuda:0')","tensor(0., device='cuda:0')"
