loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0., device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')","tensor(nan, device='cuda:0')"
"tensor(1.6760e-05, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.2725e-11, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.8112e-11, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0., device='cuda:0')"
