loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.6984, device='cuda:0')","tensor(0.3309, device='cuda:0')","tensor(0.5769, device='cuda:0')","tensor(0.3203, device='cuda:0')","tensor(0.0563, device='cuda:0')"
"tensor(0.7013, device='cuda:0')","tensor(0.3563, device='cuda:0')","tensor(0.3170, device='cuda:0')","tensor(0.2708, device='cuda:0')","tensor(-0.1065, device='cuda:0')"
"tensor(0.9407, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.3100, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.6917, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(18.2178, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(43.4463, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(73.7539, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(86.9063, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(89.1887, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(89.2574, device='cuda:0')","tensor(0.0208, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1074, device='cuda:0')","tensor(0., device='cuda:0')"
