loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.6740, device='cuda:0')","tensor(0.7612, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.6587, device='cuda:0')","tensor(0.8378, device='cuda:0')","tensor(0.5093, device='cuda:0')","tensor(0.8878, device='cuda:0')","tensor(0.0323, device='cuda:0')"
"tensor(0.6949, device='cuda:0')","tensor(0.4897, device='cuda:0')","tensor(0.6268, device='cuda:0')","tensor(0.4170, device='cuda:0')","tensor(0.0806, device='cuda:0')"
"tensor(0.8036, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.0529, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.4820, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.1037, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.8556, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.9074, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.8569, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.9838, device='cuda:0')","tensor(0.0232, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1137, device='cuda:0')","tensor(0., device='cuda:0')"
