loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.6227, device='cuda:0')","tensor(0.8391, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8906, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.6066, device='cuda:0')","tensor(0.8748, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9153, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(13.8875, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(91.5274, device='cuda:0')","tensor(0.0132, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0847, device='cuda:0')","tensor(0., device='cuda:0')"
