loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.6740, device='cuda:0')","tensor(0.7605, device='cuda:0')","tensor(0.4861, device='cuda:0')","tensor(0.8203, device='cuda:0')","tensor(-0.0425, device='cuda:0')"
"tensor(0.6620, device='cuda:0')","tensor(0.8398, device='cuda:0')","tensor(0.4959, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(-0.0139, device='cuda:0')"
"tensor(0.9402, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.6377, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.6478, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(21.2418, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(54.0389, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(85.0739, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(89.3526, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(89.3648, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(89.3648, device='cuda:0')","tensor(0.0204, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.1064, device='cuda:0')","tensor(0., device='cuda:0')"
