loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0810, device='cuda:0')","tensor(0.7455, device='cuda:0')","tensor(0.4813, device='cuda:0')","tensor(0.8047, device='cuda:0')","tensor(-0.0554, device='cuda:0')"
"tensor(0.1470, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0975, device='cuda:0')","tensor(0.8793, device='cuda:0')","tensor(0.6035, device='cuda:0')","tensor(0.9074, device='cuda:0')","tensor(0.3155, device='cuda:0')"
"tensor(0.1031, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0994, device='cuda:0')","tensor(0.8344, device='cuda:0')","tensor(0.5106, device='cuda:0')","tensor(0.8857, device='cuda:0')","tensor(0.0368, device='cuda:0')"
"tensor(0.0950, device='cuda:0')","tensor(0.8318, device='cuda:0')","tensor(0.5059, device='cuda:0')","tensor(0.8846, device='cuda:0')","tensor(0.0207, device='cuda:0')"
"tensor(0.0988, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0904, device='cuda:0')","tensor(0.8900, device='cuda:0')","tensor(0.6301, device='cuda:0')","tensor(0.9132, device='cuda:0')","tensor(0.3822, device='cuda:0')"
"tensor(0.1077, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.1020, device='cuda:0')","tensor(0.8287, device='cuda:0')","tensor(0.5004, device='cuda:0')","tensor(0.8833, device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(0.1009, device='cuda:0')","tensor(0.8295, device='cuda:0')","tensor(0.5018, device='cuda:0')","tensor(0.8837, device='cuda:0')","tensor(0.0065, device='cuda:0')"
