loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0814, device='cuda:0')","tensor(0.7495, device='cuda:0')","tensor(0.4860, device='cuda:0')","tensor(0.8125, device='cuda:0')","tensor(-0.0428, device='cuda:0')"
"tensor(0.1303, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.1031, device='cuda:0')","tensor(0.8443, device='cuda:0')","tensor(0.5291, device='cuda:0')","tensor(0.8900, device='cuda:0')","tensor(0.0985, device='cuda:0')"
"tensor(0.1027, device='cuda:0')","tensor(0.8340, device='cuda:0')","tensor(0.5098, device='cuda:0')","tensor(0.8855, device='cuda:0')","tensor(0.0340, device='cuda:0')"
"tensor(0.0882, device='cuda:0')","tensor(0.8426, device='cuda:0')","tensor(0.5259, device='cuda:0')","tensor(0.8893, device='cuda:0')","tensor(0.0879, device='cuda:0')"
"tensor(0.0958, device='cuda:0')","tensor(0.8289, device='cuda:0')","tensor(0.5008, device='cuda:0')","tensor(0.8834, device='cuda:0')","tensor(0.0029, device='cuda:0')"
"tensor(0.0974, device='cuda:0')","tensor(0.8456, device='cuda:0')","tensor(0.5316, device='cuda:0')","tensor(0.8906, device='cuda:0')","tensor(0.1064, device='cuda:0')"
"tensor(0.0947, device='cuda:0')","tensor(0.8287, device='cuda:0')","tensor(0.5004, device='cuda:0')","tensor(0.8833, device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(0.0899, device='cuda:0')","tensor(0.8445, device='cuda:0')","tensor(0.5295, device='cuda:0')","tensor(0.8901, device='cuda:0')","tensor(0.0998, device='cuda:0')"
"tensor(0.0903, device='cuda:0')","tensor(0.8515, device='cuda:0')","tensor(0.5433, device='cuda:0')","tensor(0.8933, device='cuda:0')","tensor(0.1434, device='cuda:0')"
"tensor(0.0886, device='cuda:0')","tensor(0.8642, device='cuda:0')","tensor(0.5699, device='cuda:0')","tensor(0.8993, device='cuda:0')","tensor(0.2226, device='cuda:0')"
