loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0812, device='cuda:0')","tensor(0.4949, device='cuda:0')","tensor(0.4675, device='cuda:0')","tensor(0.4297, device='cuda:0')","tensor(-0.0323, device='cuda:0')"
"tensor(0.1119, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0914, device='cuda:0')","tensor(0.9624, device='cuda:0')","tensor(0.9237, device='cuda:0')","tensor(0.9618, device='cuda:0')","tensor(0.8205, device='cuda:0')"
"tensor(0.0881, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9631, device='cuda:0')","tensor(0.9608, device='cuda:0')","tensor(0.8298, device='cuda:0')"
"tensor(0.0924, device='cuda:0')","tensor(0.9613, device='cuda:0')","tensor(0.9686, device='cuda:0')","tensor(0.9589, device='cuda:0')","tensor(0.8247, device='cuda:0')"
"tensor(0.0919, device='cuda:0')","tensor(0.9672, device='cuda:0')","tensor(0.9710, device='cuda:0')","tensor(0.9656, device='cuda:0')","tensor(0.8496, device='cuda:0')"
"tensor(0.0919, device='cuda:0')","tensor(0.9662, device='cuda:0')","tensor(0.9775, device='cuda:0')","tensor(0.9643, device='cuda:0')","tensor(0.8465, device='cuda:0')"
"tensor(0.0897, device='cuda:0')","tensor(0.9688, device='cuda:0')","tensor(0.9777, device='cuda:0')","tensor(0.9671, device='cuda:0')","tensor(0.8571, device='cuda:0')"
"tensor(0.0913, device='cuda:0')","tensor(0.9669, device='cuda:0')","tensor(0.9761, device='cuda:0')","tensor(0.9650, device='cuda:0')","tensor(0.8489, device='cuda:0')"
"tensor(0.0950, device='cuda:0')","tensor(0.9624, device='cuda:0')","tensor(0.9756, device='cuda:0')","tensor(0.9600, device='cuda:0')","tensor(0.8305, device='cuda:0')"
"tensor(0.0954, device='cuda:0')","tensor(0.9569, device='cuda:0')","tensor(0.9727, device='cuda:0')","tensor(0.9537, device='cuda:0')","tensor(0.8082, device='cuda:0')"
