loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0810, device='cuda:0')","tensor(0.6877, device='cuda:0')","tensor(0.4593, device='cuda:0')","tensor(0.6719, device='cuda:0')","tensor(-0.0731, device='cuda:0')"
"tensor(0.1118, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0942, device='cuda:0')","tensor(0.9572, device='cuda:0')","tensor(0.9397, device='cuda:0')","tensor(0.9553, device='cuda:0')","tensor(0.8023, device='cuda:0')"
"tensor(0.0941, device='cuda:0')","tensor(0.9519, device='cuda:0')","tensor(0.9600, device='cuda:0')","tensor(0.9483, device='cuda:0')","tensor(0.7860, device='cuda:0')"
"tensor(0.0995, device='cuda:0')","tensor(0.9484, device='cuda:0')","tensor(0.9615, device='cuda:0')","tensor(0.9442, device='cuda:0')","tensor(0.7734, device='cuda:0')"
"tensor(0.0939, device='cuda:0')","tensor(0.9417, device='cuda:0')","tensor(0.9589, device='cuda:0')","tensor(0.9362, device='cuda:0')","tensor(0.7479, device='cuda:0')"
"tensor(0.0973, device='cuda:0')","tensor(0.9448, device='cuda:0')","tensor(0.9633, device='cuda:0')","tensor(0.9398, device='cuda:0')","tensor(0.7604, device='cuda:0')"
"tensor(0.0930, device='cuda:0')","tensor(0.9580, device='cuda:0')","tensor(0.9707, device='cuda:0')","tensor(0.9551, device='cuda:0')","tensor(0.8122, device='cuda:0')"
"tensor(0.0993, device='cuda:0')","tensor(0.9511, device='cuda:0')","tensor(0.9688, device='cuda:0')","tensor(0.9470, device='cuda:0')","tensor(0.7849, device='cuda:0')"
"tensor(0.0955, device='cuda:0')","tensor(0.9538, device='cuda:0')","tensor(0.9710, device='cuda:0')","tensor(0.9501, device='cuda:0')","tensor(0.7957, device='cuda:0')"
"tensor(0.0961, device='cuda:0')","tensor(0.9531, device='cuda:0')","tensor(0.9706, device='cuda:0')","tensor(0.9493, device='cuda:0')","tensor(0.7931, device='cuda:0')"
