loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0819, device='cuda:0')","tensor(0.7612, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.1239, device='cuda:0')","tensor(0.8285, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0798, device='cuda:0')","tensor(0.9572, device='cuda:0')","tensor(0.8566, device='cuda:0')","tensor(0.9593, device='cuda:0')","tensor(0.7832, device='cuda:0')"
"tensor(0.0804, device='cuda:0')","tensor(0.9616, device='cuda:0')","tensor(0.8669, device='cuda:0')","tensor(0.9635, device='cuda:0')","tensor(0.8056, device='cuda:0')"
"tensor(0.0824, device='cuda:0')","tensor(0.9743, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9737, device='cuda:0')","tensor(0.8786, device='cuda:0')"
"tensor(0.0874, device='cuda:0')","tensor(0.9704, device='cuda:0')","tensor(0.9724, device='cuda:0')","tensor(0.9691, device='cuda:0')","tensor(0.8631, device='cuda:0')"
"tensor(0.0853, device='cuda:0')","tensor(0.9744, device='cuda:0')","tensor(0.9721, device='cuda:0')","tensor(0.9735, device='cuda:0')","tensor(0.8803, device='cuda:0')"
"tensor(0.0819, device='cuda:0')","tensor(0.9764, device='cuda:0')","tensor(0.9730, device='cuda:0')","tensor(0.9756, device='cuda:0')","tensor(0.8890, device='cuda:0')"
"tensor(0.0837, device='cuda:0')","tensor(0.9780, device='cuda:0')","tensor(0.9764, device='cuda:0')","tensor(0.9773, device='cuda:0')","tensor(0.8965, device='cuda:0')"
"tensor(0.0812, device='cuda:0')","tensor(0.9815, device='cuda:0')","tensor(0.9761, device='cuda:0')","tensor(0.9811, device='cuda:0')","tensor(0.9123, device='cuda:0')"
"tensor(0.0816, device='cuda:0')","tensor(0.9810, device='cuda:0')","tensor(0.9770, device='cuda:0')","tensor(0.9806, device='cuda:0')","tensor(0.9102, device='cuda:0')"
