loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0250, device='cuda:0')","tensor(0.7612, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0030, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.1346e-07, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.1357e-08, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.7829e-09, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.4324e-09, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.3004e-10, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.5568e-10, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.3505e-10, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.3865e-11, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.8578e-11, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.2171e-11, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.9673e-11, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.0534e-11, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.3863e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.4908e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.8504e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.7109e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.2040e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.9824e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.1411e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.1409e-12, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.4815e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.7328e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.2084e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.9605e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.8675e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.2098e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.2323e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.3859e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.6289e-13, device='cuda:0')","tensor(0.8329, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8863, device='cuda:0')","tensor(0., device='cuda:0')"
