loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0277, device='cuda:0')","tensor(0.7612, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0046, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.9810e-07, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.7337e-08, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.1540e-08, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.1845e-09, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.7221e-09, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.5007e-10, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.8487e-10, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.7613e-10, device='cuda:0')","tensor(0.8314, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8853, device='cuda:0')","tensor(0., device='cuda:0')"
