loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0246, device='cuda:0')","tensor(0.7722, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8438, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0051, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.0818e-07, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.6610e-08, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.2080e-09, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.4698e-10, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.4022e-10, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.2887e-11, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.3535e-11, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.9425e-11, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.9703e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.7204e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.0957e-12, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.1769e-13, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.9536e-13, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.8873e-13, device='cuda:0')","tensor(0.8389, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8905, device='cuda:0')","tensor(0., device='cuda:0')"
