loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0., device='cuda:0')","tensor(0.7512, device='cuda:0')","tensor(0.3008, device='cuda:0')","tensor(0.6016, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.3357e-05, device='cuda:0')","tensor(0.9971, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9980, device='cuda:0')","tensor(-0.0002, device='cuda:0')"
"tensor(1.5484e-10, device='cuda:0')","tensor(0.9971, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9981, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.7413e-10, device='cuda:0')","tensor(0.9971, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9981, device='cuda:0')","tensor(0., device='cuda:0')"
