loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0., device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')","tensor(nan, device='cuda:0')"
"tensor(1.1656e-05, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9995, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.6364e-19, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9995, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.4196e-18, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9995, device='cuda:0')","tensor(0., device='cuda:0')"
