loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0018, device='cuda:0')","tensor(9.1431e-06, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.1607e-06, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(9.1063e-06, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(0.0033, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0., device='cuda:0')"
